time,rr,x[1],np
0,10000,x,x
2.5,10000,x,x
5,10000,x,x
7.5,10000,x,x
10,10000,x,x
12.5,10000,x,x
15,10000,x,x
15.2,10000,x,x
17.5,10000,x,x
20,10000,x,x
22.5,10000,x,x
25,10000,x,x
27.5,10000,x,x
29.9,10000,x,x
30.1,3.5,x,x
32.5,3.5,0.991101728,0.590780164
35,3.5,0.999141476,1.060146
37.5,3.5,0.999141476,1.381291045
40,3.5,1.000195093,1.949735921
42.5,3.5,0.999773764,2.369812428
45,3.5,0.999984448,2.740502759
45.2,1,0.999984448,2.740502759
47.5,1,0.997875836,3.530570903
50,1,0.982790672,4.46255546
52.5,1,0.923087024,5.394604756
55,1,0.827170789,6.312827944
57.5,1,0.769688475,7.187411473
60,1,0.738080225,8.051023448
60.2,7,0.738080225,8.051023448
62.5,7,0.819332828,8.256959561
65,7,0.927134663,8.496361625
67.5,7,0.963811731,8.739591512
70,7,0.980221149,8.984573896
72.5,7,0.98940185,9.230547824
75,7,0.993222995,9.476936818
75.2,3.5,0.993222995,9.476936818
77.5,3.5,0.994282141,9.871343681
80,3.5,0.995763281,10.24134224
82.5,3.5,0.994705521,10.63582289
85,3.5,0.992162858,11.0298608
87.5,3.5,0.990039603,11.42352977
90,3.5,0.986847248,11.84121504
